words,id,speakers,total_count,group,quote
graduation,68,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",20,4,.
might,69,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",37,4,.
stories,70,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",13,4,.
parents,71,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",27,4,.
happiness,72,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",14,4,.
lives,73,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",18,4,.
future,74,"Toni Morrison, Steve Jobs, JK Rowling on Failure, Success and Happiness",27,4,.
thesis,75,"Stephen Colbert, Conan O'Brien on Comedy, Television",13,5,.
happy,76,"Stephen Colbert, Conan O'Brien on Comedy, Television",13,5,.
four,77,"Stephen Colbert, Conan O'Brien on Comedy, Television",13,5,.
knox,78,"Stephen Colbert, Conan O'Brien on Comedy, Television",23,5,.
harvard,79,"Stephen Colbert, Conan O'Brien on Comedy, Television",70,5,.
show,80,"Stephen Colbert, Conan O'Brien on Comedy, Television",45,5,.
house,81,"Stephen Colbert, Conan O'Brien on Comedy, Television",16,5,.
today,82,"Stephen Colbert, Conan O'Brien on Comedy, Television",36,5,.
lot,83,"Stephen Colbert, Conan O'Brien on Comedy, Television",32,5,.
graduation,84,"Stephen Colbert, Conan O'Brien on Comedy, Television",20,5,.
picture,85,"Stephen Colbert, Conan O'Brien on Comedy, Television",9,5,.
network,86,"Stephen Colbert, Conan O'Brien on Comedy, Television",16,5,.
television,87,"Stephen Colbert, Conan O'Brien on Comedy, Television",16,5,.
car,88,"Stephen Colbert, Conan O'Brien on Comedy, Television",18,5,.
bad,89,"Stephen Colbert, Conan O'Brien on Comedy, Television",12,5,.
yes,90,"Stephen Colbert, Conan O'Brien on Comedy, Television",36,5,.
going,91,"Stephen Colbert, Conan O'Brien on Comedy, Television",50,5,.
comedy,92,"Stephen Colbert, Conan O'Brien on Comedy, Television",14,5,.
jesus,93,"Stephen Colbert, Conan O'Brien on Comedy, Television",23,5,.
cbs,94,Robert Krulwich on the State of Journalism,,0,.
convention,95,Robert Krulwich on the State of Journalism,43,0,.
station,96,Robert Krulwich on the State of Journalism,19,0,.
news,97,Robert Krulwich on the State of Journalism,22,0,.
guy,98,Robert Krulwich on the State of Journalism,25,0,.
days,99,Robert Krulwich on the State of Journalism,24,0,.
wasn't,100,Robert Krulwich on the State of Journalism,19,0,.
new,101,Robert Krulwich on the State of Journalism,21,0,.
murrow,102,Robert Krulwich on the State of Journalism,44,0,.
maybe,103,Robert Krulwich on the State of Journalism,26,0,.
write,104,Robert Krulwich on the State of Journalism,36,0,.
kuralt,105,Robert Krulwich on the State of Journalism,26,0,.
love,106,Robert Krulwich on the State of Journalism,52,0,.
chicago,107,Robert Krulwich on the State of Journalism,40,0,.
different,108,Robert Krulwich on the State of Journalism,17,0,.
seen,109,Robert Krulwich on the State of Journalism,31,0,.
journalism,110,Robert Krulwich on the State of Journalism,34,0,.
room,111,Robert Krulwich on the State of Journalism,36,0,.
charles,112,Robert Krulwich on the State of Journalism,24,0,.
